Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:59,06:55,06h 56m,INR 640,37 Seats available,"3.5
43",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Vihari Travels ,NON A/C Sleeper (2+1),22:15,06:46,08h 31m,656,34 Seats available,"3.3
45",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Orange Tours And Travels,Volvo Multi-Axle Sleeper A/C (2+1),23:45,06:50,07h 05m,INR 1000,28 Seats available,"2.9
113",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
KTC Travels,A/C Sleeper (2+1),23:55,07:15,07h 20m,INR 1090,24 Seats available,"3.6
30",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
V Kaveri Travels,Non A/C Seater / Sleeper (2+1),23:00,06:15,07h 15m,INR 600,32 Seats available,"3.9
22",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Vihari Travels ,NON AC Seater / Sleeper 2+1,22:00,06:30,08h 30m,475,35 Seats available,"3.3
39",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Tulasi Tours and Travels,A/C Seater / Sleeper (2+1),23:25,05:55,06h 30m,INR 699,31 Seats available,"3.4
30",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
SBT,Non A/C Seater / Sleeper (2+1),21:55,06:40,08h 45m,INR 400,26 Seats available,"3.4
28",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Vihari Travels ,Non A/C Seater / Sleeper (2+1),21:50,06:00,08h 10m,428,31 Seats available,"3.1
39",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Chandu Travels,A/C Sleeper (2+1),23:25,06:00,06h 35m,2081,12 Seats available,"4.3
11",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Kaveri Travels,Non A/C Seater / Sleeper (2+1),23:01,06:25,07h 24m,INR 600,28 Seats available,"3.9
14",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Lakshmi Narshima Travels,Non A/C Seater / Sleeper (2+1),22:30,06:30,08h 00m,475,30 Seats available,"3.5
21",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Sivanjali Bus,Non A/C Seater / Sleeper (2+1),22:15,05:50,07h 35m,INR 560,27 Seats available,"3.2
26",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),22:20,06:10,07h 50m,INR 533,7 Seats available,"3.1
25",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Lakshmi Narshima Travels,Non A/C Seater / Sleeper (2+1),22:10,05:25,07h 15m,523,32 Seats available,"3.4
16",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Cherry tours&travels,Non A/C Seater / Sleeper (2+1),22:15,05:05,06h 50m,542,24 Seats available,"2.7
54",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Ramu Tours & Travels,A/C Seater / Sleeper (2+1),23:30,06:15,06h 45m,466,31 Seats available,"3.1
19",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:30,05:40,08h 10m,INR 560,32 Seats available,"2.6
51",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),22:30,06:40,08h 10m,INR 495,24 Seats available,"2.9
35",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Ramana Tours And Travels,A/C Sleeper (2+1),01:00,07:30,06h 30m,1360,12 Seats available,"4.3
4",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
KKaveri Travels,Non A/C Seater / Sleeper (2+1),23:58,07:02,07h 04m,702,30 Seats available,"2.8
29",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
V Kaveri Travels,Non A/C Seater / Sleeper (2+1),23:45,06:50,07h 05m,INR 600,32 Seats available,"2.4
28",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Meghana Travels,A/C Sleeper (2+1),23:30,06:35,07h 05m,1188,32 Seats available,"2.5
31",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Krishna Travels,A/C Sleeper (2+1),23:15,06:30,07h 15m,INR 1050,18 Seats available,"3.5
96",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
KMBT Travels,NON A/C Sleeper (2+1),23:15,05:45,06h 30m,741,23 Seats available,"2.9
14",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),21:45,05:55,08h 10m,INR 555,22 Seats available,"1.7
24",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Orange Tours And Travels,NON A/C Sleeper (2+1),22:45,06:45,08h 00m,INR 650,32 Seats available,"2.1
15",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Lakshmi Narshima Travels,Non A/C Seater / Sleeper (2+1),22:20,06:20,08h 00m,523,30 Seats available,"2.9
8",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),22:00,05:45,07h 45m,INR 499,22 Seats available,"1.9
22",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),22:00,05:59,07h 59m,INR 799,34 Seats available,"1.8
31",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
SAI PRASANNA TRAVELS,Non A/C Seater / Sleeper (2+1),22:00,05:56,07h 56m,INR 600,22 Seats available,"2.0
17",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Ramu Tours & Travels,A/C Sleeper (2+1),23:55,06:40,06h 45m,751,24 Seats available,"2.3
11",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
KKaveri Travels,Non A/C Seater / Sleeper (2+1),23:15,06:10,06h 55m,603,30 Seats available,"1.7
7",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Krishna Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),23:59,07:05,07h 06m,INR 1200,30 Seats available,"1.8
17",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Tulasi Tours and Travels,A/C Sleeper (2+1),01:30,07:25,05h 55m,INR 1700,15 Seats available,"2.6
6",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Vihari Travels ,NON AC Seater / Sleeper 2+1,23:00,07:00,08h 00m,580,33 Seats available,"2.5
5",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Morning Star Travels,A/C Sleeper (2+1),01:00,07:45,06h 45m,INR 850,23 Seats available,"1.2
4",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
KKaveri Travels,A/C Sleeper (2+1),23:15,06:10,06h 55m,900,30 Seats available,"1.0
5",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Vikram Travels,A/C Sleeper (2+1),00:30,06:50,06h 20m,INR 890,27 Seats available,4.5,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Go Tour Travels and Holidays,A/C Sleeper (2+1),00:45,07:10,06h 25m,INR 1099,27 Seats available,4.3,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
PMR Express,A/C Sleeper (2+1),00:45,07:50,07h 05m,INR 749,25 Seats available,4.1,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),21:30,06:05,08h 35m,INR 2000,27 Seats available,"4.0
48",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
LUCKY TRAVELS,A/C Sleeper (2+1),00:40,06:35,05h 55m,INR 999,21 Seats available,3.9,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Krishna Travels,A/C Semi Sleeper / Sleeper (2+1),21:30,05:15,07h 45m,INR 2000,40 Seats available,"3.1
100",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),23:15,06:40,07h 25m,INR 480,33 Seats available,"3.3
80",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Padmavathi Travels,A/C Sleeper (2+1),23:50,06:34,06h 44m,INR 800,30 Seats available,"3.7
43",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
KMBT Travels,NON A/C Hi-Tech Push Back (2+2),23:00,06:20,07h 20m,451,22 Seats available,"3.3
56",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),22:45,05:20,06h 35m,INR 560,30 Seats available,"3.3
41",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
KKaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),23:59,06:25,06h 26m,1170,30 Seats available,3.2,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Cherry tours&travels,Non AC Seater (2+2),22:15,05:30,07h 15m,542,13 Seats available,"3.3
26",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Tulasi Tours and Travels,Non A/C Seater / Sleeper (2+1),21:50,05:15,07h 25m,INR 589,30 Seats available,"3.2
24",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
V Kaveri Travels,A/C Sleeper (2+1),23:45,06:45,07h 00m,INR 1000,24 Seats available,"3.0
29",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Vihari Travels ,NON AC Seater / Sleeper 2+1,22:45,06:46,08h 01m,428,32 Seats available,"3.0
25",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Cherry tours&travels,Non A/C Seater / Sleeper (2+1),22:45,06:15,07h 30m,475,37 Seats available,3.0,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Rajeswari Travels,Non A/C Seater / Sleeper (2+1),23:50,06:27,06h 37m,570,32 Seats available,"3.0
21",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Krishna Travels,NON A/C Semi Sleeper / Sleeper (2+1),21:30,05:15,07h 45m,INR 3000,4 Seats available,"2.7
17",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),22:00,05:40,07h 40m,INR 699,26 Seats available,"2.9
16",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
VV Vinayak Travels,A/C Seater / Sleeper (2+1),23:15,06:40,07h 25m,INR 615,32 Seats available,"3.1
6",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Ramu Tours & Travels,A/C Seater / Sleeper (2+1),23:00,05:45,06h 45m,466,31 Seats available,"2.4
11",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
My Star Transport,Non A/C Seater / Sleeper (2+1),21:55,06:10,08h 15m,428,29 Seats available,"1.6
7",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),21:45,05:49,08h 04m,INR 659,21 Seats available,"1.4
13",https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Vikram Travels,A/C Seater / Sleeper (2+1),01:30,07:50,06h 20m,INR 2000,32 Seats available,4.5,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Vikram Travels,A/C Seater / Sleeper (2+1),02:00,08:10,06h 10m,INR 2090,33 Seats available,4.5,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Chandu Travels,Non A/C Seater / Sleeper (2+1),23:35,06:30,06h 55m,941,41 Seats available,3.9,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),22:45,05:25,06h 40m,INR 450,43 Seats available,1.9,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
METRO LINES TRAVELS,NON A/C Seater/ Sleeper (2+1),23:30,05:30,06h 00m,INR 2500,41 Seats available,3.7,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Srivastav Travels,A/C Sleeper (2+1),00:15,07:20,07h 05m,INR 799,28 Seats available,3.6,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Kaveri Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),00:15,06:30,06h 15m,INR 800,16 Seats available,3.6,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
KTC Travels,A/C Seater / Sleeper (2+1),23:55,05:55,06h 00m,INR 2000,23 Seats available,3.4,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Sivanjali Bus,Non A/C Seater / Sleeper (2+1),22:15,05:50,07h 35m,INR 3000,40 Seats available,3.2,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
KMBT Travels,NON A/C Hi-Tech Push Back (2+2),22:00,04:50,06h 50m,2366,25 Seats available,3.2,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Rajeswari Travels,Non A/C Seater / Sleeper (2+1),23:20,05:57,06h 37m,569,32 Seats available,3.0,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Rajeswari Travels,A/C Seater / Sleeper (2+1),23:59,07:35,07h 36m,1519,32 Seats available,3.0,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Cherry tours&travels,A/C Seater / Sleeper (2+1),21:30,05:30,08h 00m,1425,36 Seats available,3.0,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Rajeswari Travels,Non A/C Seater / Sleeper (2+1),23:59,07:35,07h 36m,1519,32 Seats available,3.0,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Cherry tours&travels,NON A/C Sleeper (2+1),22:15,05:30,07h 15m,1226,23 Seats available,3.0,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Ramu Tours & Travels,Non A/C Seater / Sleeper (2+1),23:30,06:15,06h 45m,2850,27 Seats available,2.7,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Ramu Tours & Travels,NON A/C Sleeper (2+1),23:55,06:40,06h 45m,751,24 Seats available,2.7,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),22:00,05:45,07h 45m,INR 699,13 Seats available,1.9,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),22:55,05:53,06h 58m,INR 449,35 Seats available,1.9,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad
APSRTC - 5491,SAPTAGIRI EXPRESS,03:30,09:30,06h 00m,INR 284,24 Seats available,"4.2
63",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 9048,Express(Non AC Seater),04:15,10:30,06h 15m,INR 294,1 Seat available,"3.5
26",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 9775,Super Luxury (Non AC Seater 2+2 Push Back),05:00,11:15,06h 15m,INR 398,23 Seats available,"4.5
44",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5621,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",05:45,12:15,06h 30m,INR 362,34 Seats available,"4.1
25",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 3507,Super Luxury (Non AC Seater 2+2 Push Back),06:00,12:30,06h 30m,INR 398,28 Seats available,"3.9
26",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5627,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",06:30,12:30,06h 00m,INR 362,34 Seats available,"3.7
28",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5519,SAPTAGIRI EXPRESS,06:30,13:00,06h 30m,INR 280,42 Seats available,"4.0
16",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5505,SAPTAGIRI EXPRESS,07:30,13:30,06h 00m,INR 284,42 Seats available,"4.1
19",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5074,INDRA(A.C. Seater),08:00,14:00,06h 00m,INR 506,28 Seats available,"3.9
22",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 9036,Express(Non AC Seater),08:30,14:50,06h 20m,INR 294,19 Seats available,"3.9
17",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 3765,Super Luxury (Non AC Seater 2+2 Push Back),09:00,15:45,06h 45m,INR 398,33 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 9058,Express(Non AC Seater),09:15,15:20,06h 05m,INR 294,36 Seats available,"3.6
8",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5724,Express(Non AC Seater),09:30,16:00,06h 30m,INR 306,1 Seat available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5451,Super Luxury (Non AC Seater 2+2 Push Back),10:30,16:30,06h 00m,INR 398,25 Seats available,"3.7
42",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 47172,INDRA(A.C. Seater),11:00,16:15,05h 15m,INR 506,30 Seats available,"3.8
52",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5455,Super Luxury (Non AC Seater 2+2 Push Back),11:30,17:30,06h 00m,INR 398,33 Seats available,"4.3
27",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5080,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:00,17:25,05h 25m,INR 632,29 Seats available,"4.1
24",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5533,Super Luxury (Non AC Seater 2+2 Push Back),13:00,19:00,06h 00m,INR 398,33 Seats available,"3.6
29",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5751,Express(Non AC Seater),14:15,20:35,06h 20m,INR 294,45 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 47577,Super Luxury (Non AC Seater 2+2 Push Back),14:30,20:30,06h 00m,INR 398,7 Seats available,"3.2
28",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 5513,SAPTAGIRI EXPRESS,14:45,20:45,06h 00m,INR 284,44 Seats available,"3.1
37",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 35292,Super Luxury (Non AC Seater 2+2 Push Back),15:00,21:30,06h 30m,INR 398,33 Seats available,"3.5
19",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
